Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
The Matrix Reloaded,3603,25471,5/15/2003,Warner Bros.,Spring,No,5,15,2003
Lethal Weapon 3,2510,13244,5/15/1992,Warner Bros.,Spring,No,5,15,1992
Godzilla,3952,23580,5/16/2014,Warner Bros.,Spring,No,5,16,2014
Star Trek Into Darkness,3868,18140,5/16/2013,Paramount Pictures,Spring,No,5,16,2013
The Chronicles of Narnia: Prince Caspian,3929,14007,5/16/2008,Walt Disney Studios Motion Pictures,Spring,No,5,16,2008
Star Wars: Episode II - Attack of the Clones,3161,25317,5/16/2002,Twentieth Century Fox,Spring,No,5,16,2002
Shrek,3587,11805,5/16/2001,DreamWorks Distribution,Spring,No,5,16,2001
John Wick: Chapter 3 - Parabellum,3850,14757,5/17/2019,Lionsgate Films,Spring,No,5,17,2019
Deadpool 2,4349,28858,5/18/2018,Twentieth Century Fox,Spring,No,5,18,2018
Battleship,3690,6920,5/18/2012,Universal Pictures,Spring,No,5,18,2012
Shrek the Third,4122,29507,5/18/2007,DreamWorks,Spring,No,5,18,2007
Fast X,4046,16563,5/19/2023,Universal Pictures,Spring,No,5,19,2023
Alien: Covenant,3761,9614,5/19/2017,Twentieth Century Fox,Spring,No,5,19,2017
The Da Vinci Code,3735,20635,5/19/2006,Sony Pictures Releasing,Spring,No,5,19,2006
Over the Hedge,4059,9474,5/19/2006,DreamWorks,Spring,No,5,19,2006
Star Wars: Episode III - Revenge of the Sith,3661,29619,5/19/2005,Twentieth Century Fox,Spring,No,5,19,2005
Shrek 2,4163,25951,5/19/2004,DreamWorks Distribution,Spring,No,5,19,2004
Dinosaur,3257,11929,5/19/2000,Walt Disney Studios Motion Pictures,Spring,No,5,19,2000
Star Wars: Episode I - The Phantom Menace,2970,21825,5/19/1999,Twentieth Century Fox,Spring,No,5,19,1999
Die Hard with a Vengeance,2525,8777,5/19/1995,Twentieth Century Fox,Spring,No,5,19,1995
The Angry Birds Movie,3932,9703,5/20/2016,Sony Pictures Releasing,Spring,No,5,20,2016
Neighbors 2: Sorority Rising,3384,6430,5/20/2016,Universal Pictures,Spring,No,5,20,2016
Pirates of the Caribbean: On Stranger Tides,4155,21697,5/20/2011,Walt Disney Studios Motion Pictures,Spring,No,5,20,2011
Godzilla,3310,13307,5/20/1998,Sony Pictures Releasing,Spring,No,5,20,1998
Beverly Hills Cop II,2326,11327,5/20/1987,Paramount Pictures,Spring,No,5,20,1987
Shrek Forever After,4359,16251,5/21/2010,DreamWorks,Spring,No,5,21,2010
