Movie,Theaters,Inflation Adjusted Average,Date,Distributor,Season,Holiday,Month,Date,Year
Moana,3875,14614,11/23/2016,Walt Disney Studios Motion Pictures,Fall,Yes,11,23,2016
The Muppets,3440,8499,11/23/2011,Walt Disney Studios Motion Pictures,Fall,Yes,11,23,2011
Encanto,3980,6835,11/24/2021,Walt Disney Studios Motion Pictures,Fall,Yes,11,24,2021
Tangled,3603,13535,11/24/2010,Walt Disney Studios Motion Pictures,Fall,Yes,11,24,2010
Christmas with the Kranks,3393,6357,11/24/2004,Revolution Studios,Fall,Yes,11,24,2004
The Good Dinosaur,3749,10444,11/25/2015,Walt Disney Studios Motion Pictures,Fall,Yes,11,25,2015
Creed,3404,8705,11/25/2015,Warner Bros.,Fall,Yes,11,25,2015
Penguins of Madagascar,3764,6760,11/26/2014,Twentieth Century Fox,Fall,Yes,11,26,2014
Four Christmases,3310,9386,11/26/2008,Warner Bros.,Fall,Yes,11,26,2008
The Haunted Mansion,3122,7776,11/26/2003,Walt Disney Studios Motion Pictures,Fall,Yes,11,26,2003
Flubber,2641,10119,11/26/1997,Walt Disney Studios Motion Pictures,Fall,Yes,11,26,1997
Knives Out,3461,7734,11/27/2019,Lionsgate Films,Fall,Yes,11,27,2019
101 Dalmatians,2794,11991,11/27/1996,Walt Disney Studios Motion Pictures,Fall,Yes,11,27,1996
Renaissance: A Film by Beyoncé,2539,8586,12/1/2023,-,Winter,No,12,1,2023
The Last Samurai,2908,8346,12/5/2003,Warner Bros.,Winter,No,12,5,2003
The Golden Compass,3528,7405,12/7/2007,New Line Cinema,Winter,No,12,7,2007
Ocean's Eleven,3075,12392,12/7/2001,Warner Bros.,Winter,No,12,7,2001
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",3616,18129,12/9/2005,Walt Disney Studios Motion Pictures,Winter,No,12,9,2005
The Chronicles of Narnia: The Voyage of the Dawn Treader,3555,6752,12/10/2010,Twentieth Century Fox,Winter,No,12,10,2010
Ocean's Twelve,3290,11900,12/10/2004,Warner Bros.,Winter,No,12,10,2004
Star Trek: Insurrection,2620,8417,12/11/1998,Paramount Pictures,Winter,No,12,11,1998
Exodus: Gods and Kings,3503,6884,12/12/2014,Twentieth Century Fox,Winter,No,12,12,2014
The Day the Earth Stood Still,3560,8561,12/12/2008,Twentieth Century Fox,Winter,No,12,12,2008
Scream 2,2663,12364,12/12/1997,Dimension Films,Winter,No,12,12,1997
Jumanji: The Next Level,4227,14017,12/13/2019,Sony Pictures Releasing,Winter,No,12,13,2019
The Hobbit: The Desolation of Smaug,3903,18868,12/13/2013,Warner Bros.,Winter,No,12,13,2013
Spider-Man: Into the Spider-Verse,3813,9274,12/14/2018,Sony Pictures Releasing,Winter,No,12,14,2018
The Hobbit: An Unexpected Journey,4045,20918,12/14/2012,Warner Bros.,Winter,No,12,14,2012
I Am Legend,3606,21411,12/14/2007,Warner Bros.,Winter,No,12,14,2007
Alvin and the Chipmunks,3475,12750,12/14/2007,Twentieth Century Fox,Winter,No,12,14,2007
King Kong,3568,14049,12/14/2005,Universal Pictures,Winter,No,12,14,2005
Vanilla Sky,2742,9123,12/14/2001,Paramount Pictures,Winter,No,12,14,2001
Wonka,4203,9280,12/15/2023,Warner Bros.,Winter,No,12,15,2023
Star Wars: Episode VIII - The Last Jedi,4232,51987,12/15/2017,Walt Disney Studios Motion Pictures,Winter,No,12,15,2017
The Pursuit of Happyness,2852,9306,12/15/2006,Sony Pictures Releasing,Winter,No,12,15,2006
Eragon,3020,7695,12/15/2006,Twentieth Century Fox,Winter,No,12,15,2006
What Women Want,3012,11160,12/15/2000,Paramount Pictures,Winter,No,12,15,2000
Avatar: The Way of Water,4202,31913,12/16/2022,20th Century Studios,Winter,No,12,16,2022
Rogue One: A Star Wars Story,4157,37306,12/16/2016,Walt Disney Studios Motion Pictures,Winter,No,12,16,2016
Sherlock Holmes: A Game of Shadows,3703,10704,12/16/2011,Warner Bros.,Winter,No,12,16,2011
Alvin and the Chipmunks: Chipwrecked,3723,6243,12/16/2011,Twentieth Century Fox,Winter,No,12,16,2011
Spider-Man: No Way Home,4336,59995,12/17/2021,Sony Pictures Releasing,Winter,No,12,17,2021
The Hobbit: The Battle of the Five Armies,3875,14122,12/17/2014,Warner Bros.,Winter,No,12,17,2014
Tron: Legacy,3451,12757,12/17/2010,Walt Disney Studios Motion Pictures,Winter,No,12,17,2010
A Series of Unfortunate Events,3620,8304,12/17/2004,Paramount Pictures,Winter,No,12,17,2004
The Lord of the Rings: The Return of the King,3703,19613,12/17/2003,New Line Cinema,Winter,No,12,17,2003
Star Wars: Episode VII - The Force Awakens,4134,59982,12/18/2015,Walt Disney Studios Motion Pictures,Winter,No,12,18,2015
Anchorman 2: The Legend Continues,3507,7480,12/18/2013,Paramount Pictures,Winter,No,12,18,2013
Avatar,3452,22313,12/18/2009,Twentieth Century Fox,Winter,No,12,18,2009
The Lord of the Rings: The Two Towers,3622,17119,12/18/2002,New Line Cinema,Winter,No,12,18,2002
Mary Poppins Returns,4090,5751,12/19/2018,Walt Disney Studios Motion Pictures,Winter,No,12,19,2018
The Lord of the Rings: The Fellowship of the Ring,3359,14055,12/19/2001,New Line Cinema,Winter,No,12,19,2001
Titanic,2674,10709,12/19/1997,Paramount Pictures,Winter,No,12,19,1997
Tomorrow Never Dies,2807,8957,12/19/1997,Metro-Goldwyn-Mayer (MGM),Winter,No,12,19,1997
Star Wars: Episode IX - The Rise of Skywalker,4406,40259,12/20/2019,Walt Disney Studios Motion Pictures,Winter,No,12,20,2019
Jumanji: Welcome to the Jungle,3765,9606,12/20/2017,Sony Pictures Releasing,Winter,No,12,20,2017
Aquaman,4125,16454,12/21/2018,Warner Bros.,Winter,Yes,12,21,2018
Bumblebee,3550,6099,12/21/2018,Paramount Pictures,Winter,Yes,12,21,2018
Sing,4022,8766,12/21/2016,Universal Pictures,Winter,Yes,12,21,2016
National Treasure: Book of Secrets,3832,11686,12/21/2007,Walt Disney Studios Motion Pictures,Winter,Yes,12,21,2007
Aquaman and the Lost Kingdom,3706,7470,12/22/2023,Warner Bros.,Winter,Yes,12,22,2023
Sing 2,3892,5736,12/22/2021,Universal Pictures,Winter,Yes,12,22,2021
Little Fockers,3536,8719,12/22/2010,Universal Pictures,Winter,Yes,12,22,2010
True Grit,3047,8149,12/22/2010,Paramount Pictures,Winter,Yes,12,22,2010
Night at the Museum,3685,8258,12/22/2006,Twentieth Century Fox,Winter,Yes,12,22,2006
Meet the Fockers,3518,13110,12/22/2004,Universal Pictures,Winter,Yes,12,22,2004
Cast Away,2774,10412,12/22/2000,Twentieth Century Fox,Winter,Yes,12,22,2000
Alvin and the Chipmunks: The Squeakquel,3700,13209,12/23/2009,Twentieth Century Fox,Winter,Yes,12,23,2009
Daddy's Home,3271,11843,12/25/2015,Paramount Pictures,Winter,Yes,12,25,2015
Into the Woods,2440,12726,12/25/2014,Walt Disney Studios Motion Pictures,Winter,Yes,12,25,2014
Unbroken,3131,9780,12/25/2014,Universal Pictures,Winter,Yes,12,25,2014
Django Unchained,3010,10007,12/25/2012,The Weinstein Company,Winter,Yes,12,25,2012
Les Misérables,2814,9695,12/25/2012,Universal Pictures,Winter,Yes,12,25,2012
Sherlock Holmes,3626,17182,12/25/2009,Warner Bros.,Winter,Yes,12,25,2009
It's Complicated,2887,7655,12/25/2009,Universal Pictures,Winter,Yes,12,25,2009
Marley & Me,3480,10447,12/25/2008,Twentieth Century Fox,Winter,Yes,12,25,2008
Bedtime Stories,3681,7457,12/25/2008,Walt Disney Studios Motion Pictures,Winter,Yes,12,25,2008
The Curious Case of Benjamin Button,2988,8987,12/25/2008,Paramount Pictures,Winter,Yes,12,25,2008
Cheaper by the Dozen,3298,8355,12/25/2003,Twentieth Century Fox,Winter,Yes,12,25,2003
Catch Me If You Can,3156,9522,12/25/2002,DreamWorks Distribution,Winter,Yes,12,25,2002
Patch Adams,2712,9315,12/25/1998,Universal Pictures,Winter,Yes,12,25,1998
